step6_state_key,title_key,decl_path
p3_16_16d,p3_16,"step6_items[""p3_16""][""subitems""][""16d""]"
p3_16_16e,p3_16,"step6_items[""p3_16""][""subitems""][""16e""]"
p3_16_1,p3_16,"step6_items[""p3_16""][""requirements""][""1""]"
p3_16_2,p3_16,"step6_items[""p3_16""][""requirements""][""2""]"
p3_16_3,p3_16,"step6_items[""p3_16""][""requirements""][""3""]"
p3_16_4,p3_16,"step6_items[""p3_16""][""requirements""][""4""]"
p4_17_17a,p4_17,"step6_items[""p4_17""][""subitems""][""17a""]"
p4_17_17b,p4_17,"step6_items[""p4_17""][""subitems""][""17b""]"
p4_17_1,p4_17,"step6_items[""p4_17""][""requirements""][""1""]"
p4_18_1,p4_18,"step6_items[""p4_18""][""requirements""][""1""]"
p4_19_1,p4_19,"step6_items[""p4_19""][""requirements""][""1""]"
p7_20_1,p7_20,"step6_items[""p7_20""][""requirements""][""1""]"
p7_21_1,p7_21,"step6_items[""p7_21""][""requirements""][""1""]"
p7_22_22a,p7_22,"step6_items[""p7_22""][""subitems""][""22a""]"
p7_22_22b,p7_22,"step6_items[""p7_22""][""subitems""][""22b""]"
p7_22_1,p7_22,"step6_items[""p7_22""][""requirements""][""1""]"
p7_22_2,p7_22,"step6_items[""p7_22""][""requirements""][""2""]"
p7_23_1,p7_23,"step6_items[""p7_23""][""requirements""][""1""]"
p7_23_2,p7_23,"step6_items[""p7_23""][""requirements""][""2""]"
ds_24_24a,ds_24,"step6_items[""ds_24""][""subitems""][""24a""]"
ds_24_24b,ds_24,"step6_items[""ds_24""][""subitems""][""24b""]"
